"OSSLT_First_Attempt_PassRate","School_Type","School_Language","Special_Ed_Pct","No_Parent_Degree_Pct","Low_Income_Pct"
91,"Catholic","English",24,8,18
87,"Catholic","English",20,6,16
86,"Catholic","English",23,5,16
84,"Catholic","English",25,3,15
85,"Catholic","English",19,6,16
79,"Catholic","English",17,7,17
85,"Catholic","English",22,6,15
85,"Catholic","English",33,4,13
91,"Catholic","English",25,10,10
95,"Catholic","English",23,1,7
93,"Catholic","English",22,2,7
84,"Catholic","English",26,9,27
75,"Catholic","English",20,7,26
77,"Catholic","English",20,15,30
95,"Catholic","English",26,0,5
91,"Catholic","English",22,3,9
86,"Catholic","English",27,1,6
92,"Catholic","English",23,2,8
76,"Catholic","English",16,13,30
89,"Catholic","English",30,10,20
88,"Catholic","English",21,1,7
82,"Catholic","English",25,8,18
88,"Catholic","English",18,5,14
92,"Catholic","English",19,2,10
92,"Public","English",21,1,7
88,"Public","English",17,8,21
75,"Public","English",30,10,20
88,"Public","English",31,2,7
96,"Public","English",22,5,14
97,"Public","English",9,2,11
97,"Public","English",17,1,10
91,"Public","English",23,4,12
62,"Public","English",25,10,29
81,"Public","English",35,10,25
91,"Public","English",20,2,8
93,"Public","English",19,3,23
89,"Public","English",18,1,10
93,"Public","English",15,4,12
96,"Public","English",26,2,12
79,"Public","English",30,0,5
17,"Public","English",95,5,20
63,"Public","English",22,14,33
59,"Public","English",95,10,20
89,"Public","English",30,5,13
90,"Public","English",25,2,7
89,"Public","English",26,0,6
90,"Public","English",26,2,5
85,"Public","English",28,12,24
90,"Public","English",17,7,20
80,"Public","English",13,12,21
85,"Public","English",16,7,14
87,"Public","English",10,14,12
89,"Public","English",26,4,15
76,"Public","English",15,9,16
94,"Public","English",10,8,13
74,"Public","English",19,5,16
78,"Public","English",13,7,13
88,"Public","English",24,7,20
84,"Public","English",17,8,11
89,"Public","English",11,9,27
90,"Public","English",11,8,12
78,"Public","English",20,8,10
85,"Public","English",26,6,6
81,"Public","English",18,4,13
94,"Public","English",13,1,19
22,"Public","English",90,10,15
66,"Public","English",25,19,22
92,"Public","English",22,3,12
80,"Public","English",15,9,10
94,"Public","English",12,6,9
85,"Public","English",20,4,13
82,"Public","English",20,9,13
86,"Public","English",9,9,12
94,"Public","English",19,4,20
81,"Public","English",13,5,18
78,"Public","English",21,11,10
83,"Public","English",8,3,22
91,"Public","English",16,5,13
72,"Public","English",15,8,27
92,"Public","English",9,6,17
86,"Public","English",26,9,14
21,"Public","English",95,6,20
81,"Catholic","English",32,4,16
77,"Catholic","English",26,2,6
88,"Catholic","English",24,2,13
87,"Catholic","English",24,3,13
80,"Catholic","English",25,3,7
71,"Catholic","English",40,10,10
65,"Public","English",45,0,10
75,"Public","English",30,5,10
68,"Public","English",40,15,10
63,"Public","English",30,2,17
82,"Public","English",30,5,0
95,"Public","English",20,2,8
87,"Public","English",15,2,12
72,"Public","English",30,5,10
78,"Public","English",35,0,25
71,"Public","English",21,9,11
75,"Public","English",20,0,10
64,"Public","English",20,10,5
84,"Catholic","English",30,5,10
84,"Catholic","English",30,10,10
87,"Public","English",28,3,14
71,"Public","English",27,5,12
92,"Public","English",20,0,10
78,"Public","English",30,5,10
89,"Public","English",25,0,15
79,"Public","English",35,10,10
86,"Public","English",20,0,5
82,"Public","English",22,5,8
89,"Public","English",23,7,17
84,"Public","English",20,2,9
88,"Public","English",22,7,12
87,"Public","English",23,6,14
86,"Public","English",26,8,12
75,"Public","English",25,0,10
82,"Public","English",24,5,12
85,"Public","English",18,5,11
90,"Public","English",25,0,10
80,"Public","English",18,10,11
82,"Public","English",25,7,8
82,"Public","English",28,8,12
80,"Public","English",40,0,10
81,"Public","English",25,6,13
82,"Catholic","English",18,8,12
90,"Catholic","English",30,0,10
83,"Catholic","English",26,8,10
82,"Catholic","English",35,5,10
85,"Catholic","English",21,3,9
79,"Catholic","English",24,10,15
74,"Catholic","English",22,6,10
79,"Catholic","English",29,4,12
88,"Catholic","English",22,6,8
88,"Catholic","English",29,3,12
87,"Catholic","English",28,9,14
67,"Catholic","English",25,5,10
92,"Catholic","English",15,5,15
94,"Catholic","English",20,5,10
76,"Catholic","English",25,3,16
45,"Public","English",40,30,20
79,"Public","English",20,10,10
57,"Public","English",30,0,10
66,"Public","English",25,5,10
56,"Public","English",20,0,10
91,"Public","English",10,3,15
42,"Public","English",45,5,30
81,"Public","English",21,4,13
57,"Public","English",29,12,21
59,"Public","English",34,8,11
77,"Public","English",18,37,11
72,"Public","English",30,0,20
72,"Public","English",17,16,9
73,"Public","English",21,9,22
78,"Public","English",19,6,9
69,"Public","English",21,5,9
96,"Public","English",8,6,19
87,"Public","English",17,7,21
78,"Public","English",17,1,6
84,"Public","English",15,2,9
61,"Public","English",32,21,34
72,"Public","English",20,0,5
91,"Public","English",12,3,16
84,"Public","English",20,4,12
74,"Public","English",22,4,17
87,"Public","English",14,4,21
69,"Public","English",16,8,20
78,"Public","English",23,4,9
72,"Public","English",20,10,15
59,"Public","English",20,9,30
86,"Public","English",12,6,10
84,"Catholic","English",12,5,12
78,"Catholic","English",11,5,12
96,"Catholic","English",15,5,14
80,"Catholic","English",33,20,24
84,"Catholic","English",20,6,27
96,"Catholic","English",6,6,20
80,"Catholic","English",20,16,20
68,"Catholic","English",26,18,22
70,"Catholic","English",15,26,29
93,"Catholic","English",15,5,15
77,"Catholic","English",19,13,25
83,"Catholic","English",19,23,31
87,"Catholic","English",8,8,18
86,"Catholic","English",25,20,25
76,"Catholic","English",17,19,25
84,"Catholic","English",18,11,22
94,"Catholic","English",10,11,24
87,"Catholic","English",16,7,17
79,"Catholic","English",22,20,25
71,"Catholic","English",30,10,25
44,"Catholic","English",35,10,30
92,"Catholic","English",22,7,19
97,"Catholic","English",20,9,24
91,"Catholic","English",13,8,26
67,"Catholic","English",24,22,25
69,"Catholic","English",22,13,28
80,"Catholic","English",21,11,26
92,"Catholic","English",16,9,20
84,"Catholic","English",10,0,25
92,"Catholic","English",15,13,25
81,"Catholic","English",26,19,24
100,"Catholic","English",0,10,20
72,"Catholic","English",25,15,25
59,"Catholic","English",32,23,24
87,"Catholic","English",26,12,33
91,"Public","English",12,4,24
94,"Public","English",14,16,25
83,"Public","English",18,18,24
80,"Public","English",33,10,30
92,"Public","English",17,12,23
72,"Public","English",17,25,29
76,"Public","English",22,14,34
65,"Public","English",40,18,30
94,"Public","English",30,11,20
73,"Public","English",36,8,27
66,"Public","English",29,16,31
85,"Public","English",18,9,28
68,"Public","English",35,20,30
95,"Public","English",13,13,25
95,"Public","English",11,3,32
82,"Public","English",22,9,27
65,"Public","English",30,23,28
90,"Public","English",22,4,16
96,"Public","English",17,6,13
96,"Public","English",18,5,15
73,"Public","English",25,10,35
81,"Public","English",16,6,30
94,"Public","English",17,9,20
95,"Public","English",14,4,12
83,"Public","English",22,13,44
78,"Public","English",25,15,25
62,"Public","English",23,21,33
81,"Public","English",15,15,30
84,"Public","English",30,10,20
96,"Public","English",15,2,11
95,"Public","English",12,4,15
82,"Public","English",20,12,21
94,"Public","English",15,2,11
66,"Public","English",11,17,46
88,"Public","English",16,13,22
94,"Public","English",23,7,22
75,"Public","English",18,6,27
74,"Public","English",23,25,28
94,"Public","English",17,2,17
92,"Public","English",21,3,16
86,"Public","English",16,9,25
83,"Public","English",40,15,25
85,"Public","English",23,16,26
89,"Public","English",14,6,23
92,"Public","English",14,7,15
96,"Public","English",19,10,24
98,"Public","English",23,7,19
78,"Public","English",20,15,30
93,"Public","English",11,8,25
50,"Public","English",50,20,35
83,"Public","English",22,6,17
86,"Public","English",16,8,24
84,"Public","English",21,4,10
85,"Public","English",21,13,29
67,"Public","English",20,10,30
65,"Public","English",25,16,27
99,"Public","English",6,6,13
85,"Public","English",19,8,28
77,"Public","English",30,9,26
84,"Public","English",23,21,23
88,"Public","English",34,10,19
63,"Public","English",28,21,32
49,"Public","English",37,32,37
89,"Public","English",22,7,24
93,"Public","English",14,4,19
65,"Public","English",32,11,32
75,"Public","English",20,14,29
70,"Public","English",17,21,26
88,"Public","English",11,3,22
88,"Public","English",12,7,15
85,"Public","English",32,2,12
78,"Public","English",38,11,16
80,"Public","English",40,10,15
87,"Public","English",40,10,15
84,"Public","English",34,5,13
87,"Public","English",28,5,13
83,"Public","English",37,4,11
83,"Public","English",30,0,5
80,"Public","English",40,0,10
83,"Public","English",20,5,15
80,"Public","English",24,2,9
98,"Public","English",30,10,10
60,"Public","English",34,11,23
84,"Public","English",30,5,10
67,"Public","English",35,0,20
94,"Public","English",30,0,10
77,"Public","English",26,1,8
77,"Public","English",27,2,16
79,"Public","English",35,5,10
80,"Public","English",40,5,5
78,"Public","English",40,0,5
66,"Public","English",30,0,20
76,"Public","English",26,4,17
75,"Public","English",40,5,10
53,"Public","English",30,5,30
69,"Public","English",31,5,17
76,"Public","English",25,5,10
83,"Public","English",28,4,17
76,"Public","English",35,5,20
94,"Public","English",20,1,9
73,"Public","English",30,2,11
89,"Public","English",27,5,8
52,"Public","English",80,5,20
97,"Public","English",30,0,0
95,"Public","English",23,5,10
91,"Public","English",24,4,11
76,"Public","English",32,27,11
85,"Public","English",31,5,10
82,"Public","English",35,15,10
86,"Public","English",29,2,6
86,"Catholic","English",23,7,10
83,"Catholic","English",21,7,17
81,"Catholic","English",21,5,9
90,"Catholic","English",25,7,11
81,"Catholic","English",21,6,14
85,"Public","English",26,4,9
88,"Public","English",16,8,16
83,"Public","English",21,10,19
87,"Public","English",22,29,8
76,"Public","English",26,9,17
82,"Public","English",21,11,14
80,"Public","English",38,8,14
83,"Public","English",26,7,7
86,"Public","English",25,3,9
87,"Public","English",32,4,7
85,"Public","English",32,6,14
95,"Public","English",24,3,13
80,"Public","English",31,4,10
82,"Public","English",27,6,7
85,"Public","English",19,8,18
82,"Public","English",22,6,6
93,"Catholic","English",21,1,7
86,"Catholic","English",21,8,13
81,"Catholic","English",26,5,9
88,"Catholic","English",12,9,29
89,"Catholic","English",22,18,13
89,"Catholic","English",14,19,41
90,"Catholic","English",26,8,22
91,"Catholic","English",16,6,19
92,"Catholic","English",22,2,6
87,"Catholic","English",17,7,19
97,"Catholic","English",21,3,7
87,"Catholic","English",12,3,11
88,"Catholic","English",14,6,8
93,"Catholic","English",8,11,17
79,"Catholic","English",19,8,10
90,"Catholic","English",15,2,20
82,"Catholic","English",35,10,10
86,"Catholic","English",20,4,11
96,"Catholic","English",11,6,17
91,"Catholic","English",18,5,11
94,"Catholic","English",17,4,12
87,"Catholic","English",15,9,11
86,"Catholic","English",18,5,10
87,"Catholic","English",23,2,10
98,"Catholic","English",6,2,19
97,"Catholic","English",18,2,13
93,"Public","English",19,2,18
94,"Public","English",20,3,11
95,"Public","English",8,3,23
96,"Public","English",13,5,13
95,"Public","English",16,5,12
96,"Public","English",10,9,16
95,"Public","English",19,3,11
86,"Public","English",27,3,11
90,"Public","English",11,5,7
97,"Public","English",18,4,10
85,"Public","English",35,5,10
79,"Public","English",37,7,11
91,"Public","English",23,2,9
80,"Public","English",10,0,20
93,"Public","English",12,8,13
94,"Public","English",20,4,10
93,"Public","English",9,6,15
91,"Public","English",14,13,20
94,"Public","English",12,15,19
97,"Public","English",16,5,11
94,"Public","English",11,9,20
94,"Public","English",20,3,17
94,"Public","English",10,4,18
86,"Public","English",29,1,10
92,"Public","English",25,2,11
93,"Public","English",22,5,10
72,"Public","English",50,10,15
92,"Public","English",16,2,24
97,"Public","English",17,2,20
92,"Public","English",15,9,11
95,"Public","English",8,6,22
94,"Public","English",27,1,12
93,"Public","English",20,10,10
